geoid,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B19013_001E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E
371470006022,2344,382,1828,0,25,0,0,109,0,109,26433,1534,25,100,493,464,194,187,45,26,0,0
371470002013,989,772,181,0,19,0,0,17,0,17,-666666666,620,0,54,35,50,62,77,186,137,5,14
371470002014,806,513,279,0,14,0,0,0,0,0,-666666666,421,0,14,0,36,10,143,150,56,12,0
371190060071,4005,624,3243,67,0,0,63,8,0,8,75208,1173,40,177,766,92,0,21,28,24,0,25
371190060073,2624,1552,795,0,0,0,277,0,0,0,117176,1117,0,0,877,84,18,75,0,0,63,0
371190062131,3936,3030,648,26,96,0,22,114,0,114,117845,1374,39,93,982,97,12,13,60,65,13,0
371190062111,3663,2880,465,1,39,0,60,218,0,218,124179,1325,0,0,1015,254,44,12,0,0,0,0
371190063031,2044,1437,451,0,61,0,69,26,0,26,50346,982,0,18,25,168,453,111,96,20,0,91
371190063032,4226,3794,328,0,36,0,22,46,0,46,87604,1611,247,148,618,438,64,12,55,8,13,8
371190062141,1726,1468,103,0,82,0,10,63,0,63,95694,594,19,27,178,292,42,7,7,0,0,22
371190062101,2585,2209,159,0,95,0,90,32,8,24,91250,1068,33,64,249,595,108,0,8,0,11,0
371190063041,516,489,0,0,0,0,12,15,0,15,103875,263,0,33,0,139,60,0,0,18,13,0
371190063043,2469,1746,483,12,88,0,129,11,0,11,89875,797,132,73,249,153,57,10,59,17,14,33
371190064042,4146,3780,270,0,57,0,0,39,0,39,200707,1359,188,193,455,426,21,13,44,8,11,0
371190064032,1725,1252,226,0,108,4,25,110,0,110,-666666666,59,0,0,14,0,7,0,29,0,9,0
371190064033,1421,1407,5,0,0,0,0,9,0,9,141369,604,0,45,166,98,68,21,59,61,0,86
371830520023,926,255,572,0,11,0,79,9,0,9,40500,324,0,0,9,22,0,23,212,50,8,0
370810142001,983,271,561,13,65,0,73,0,0,0,34576,501,0,28,11,38,0,46,164,79,36,99
370810143001,1075,504,485,0,86,0,0,0,0,0,32171,333,0,0,18,10,0,0,84,68,10,143
370810143002,589,47,455,0,80,0,3,4,0,4,26313,305,0,0,0,7,54,19,66,35,59,65
370810143004,660,99,259,0,125,0,177,0,0,0,31417,290,0,0,0,0,10,0,78,17,26,159
370810143003,896,442,288,0,68,12,68,18,0,18,20545,457,0,0,19,49,36,114,71,38,100,30
